ID,IP,Decimal,Hostname,ASN,ISP,Assignment,Country,State_Region,City,lat,lon
18,172.104.234.76,2892556876,172-104-234-76.ip.linodeusercontent.com,63949,Linode LLC,Likely Static IP,Germany,Hessen,Frankfurt am Main,50.1109,8.682
19,143.42.58.185,2401909433,143-42-58-185.ip.linodeusercontent.com,63949,Akamai Technologies Inc.,Likely Static IP,Germany,Hessen,Frankfurt am Main,50.1109,8.682
20,172.105.91.20,2892585748,172-105-91-20.ip.linodeusercontent.com,63949,Linode LLC,Likely Static IP,Germany,Hessen,Frankfurt am Main,50.1109,8.682
21,167.71.59.74,2806463306,167.71.59.74,14061,DigitalOcean LLC,Likely Static IP,Germany,Hessen,Frankfurt am Main,50.1109,8.682
22,194.233.166.104,3270092392,194-233-166-104.ip.linodeusercontent.com,63949,Linode LLC,Likely Static IP,Germany,Hessen,Frankfurt am Main,50.1109,8.682
23,123.119.21.26,2071401754,123.119.21.26,4808,China Unicom Beijing Province Network,Likely Static IP,China,Beijing,Beijing,39.9075,116.3971
24,31.151.92.113,530013297,31-151-92-113.dynamic.upc.nl,33915,Ziggo B.V.,Likely Static IP,Netherlands,Noord-Holland,Amsterdam,52.3785,4.9
25,84.156.27.58,1419516730,p549c1b3a.dip0.t-ipconnect.de,3320,Deutsche Telekom AG,Likely Static IP,Germany,Niedersachsen,Wesenstedter Riede,52.7513,8.7249
26,91.146.146.231,1536332519,pool146-231.cable.tolna.net,8462,Tarr Kft.,Likely Static IP,Hungary,Tolna,Hogyesz,46.497,18.4184
27,213.225.251.215,3588357079,213.225.251.215,198102,Xstream Srl,Likely Static IP,Italy,Emilia-Romagna,Reggio nell'Emilia,44.6983,10.6313
28,92.236.20.9,1558975497,cpc87991-haye25-2-0-cust8.17-4.cable.virginm.net,5089,Virgin Media Limited,Likely Static IP,United Kingdom of Great Britain and Northern Ireland,England,Sunbury-on-Thames,51.4061,-0.4137
29,114.175.91.208,1924094928,p2987208-ipxg00m01fukuokachu.fukuoka.ocn.ne.jp,4713,Open Computer Network,Likely Static IP,Japan,Fukuoka,Fukuoka,33.5831,130.4
30,94.211.209.177,1590940081,94-211-209-177.cable.dynamic.v4.ziggo.nl,33915,Ziggo B.V.,Likely Static IP,Netherlands,Noord-Brabant,Oosterhout,51.645,4.8597
31,96.236.206.55,1626132023,pool-96-236-206-55.pitbpa.fios.verizon.net,701,Verizon Business,Likely Dynamic IP,United States,Pennsylvania,Pittsburgh,40.4406,-79.9959
32,213.73.173.76,3578375500,213-73-173-76.cable.dynamic.v4.ziggo.nl,33915,Ziggo B.V.,Likely Dynamic IP,Netherlands,Overijssel,Zwolle,52.5124,6.0945
33,114.32.67.119,1914717047,114-32-67-119.hinet-ip.hinet.net,3462,Chunghwa Telecom Co. Ltd.,Likely Static IP,Taiwan,Taipei,Taipei,25.0382,121.5636
34,87.104.24.134,1466439814,87.104.24.134.static.fibianet.dk,44869,Fibia P/S,Likely Static IP,Denmark,Syddanmark,Kolding,55.4904,9.4721
35,69.181.170.147,1169533587,c-69-181-170-147.hsd1.ca.comcast.net,7922,Comcast Cable Communications LLC,Likely Dynamic IP,United States,California,Cupertino,37.323,-122.0322
36,98.32.92.155,1646288027,c-98-32-92-155.hsd1.ut.comcast.net,7922,Comcast Cable Communications LLC,Likely Dynamic IP,United States,Utah,Draper,40.5247,-111.8643
37,80.120.77.138,1350061450,80.120.77.138,8447,aktivgesund KMW GmbH,Likely Static IP,Austria,Wien,Vienna,48.2089,16.3721
38,69.70.144.134,1162252422,modemcable134.144-70-69.static.videotron.ca,5769,Videotron Ltee,Likely Static IP,Canada,Quebec,Montreal,45.5088,-73.5878
39,86.206.32.98,1456349282,lfbn-tou-1-439-98.w86-206.abo.wanadoo.fr,3215,Orange S.A.,Likely Dynamic IP,France,Occitanie,Prayssac,44.5044,1.1886
40,93.43.216.150,1563154582,93-43-216-150.ip93.fastwebnet.it,12874,Fastweb SpA,Likely Static IP,Italy,Emilia-Romagna,Modena,44.6478,10.9256
41,122.116.41.195,2054433219,122-116-41-195.hinet-ip.hinet.net,3462,Chunghwa Telecom Co. Ltd.,Likely Static IP,Taiwan,Taipei,Taipei,25.0382,121.5636
42,84.49.115.103,1412526951,103.84-49-115.nextgentel.com,15659,NextGenTel AS,Likely Static IP,Norway,Trondelag,Trondheim,63.4305,10.3944
43,126.145.168.23,2123474967,softbank126145168023.bbtec.net,17676,SoftBank Corp.,Likely Static IP,Japan,Aichi,Nisshin,35.1284,137.0427
44,174.0.62.207,2919251663,s0106881fa129fdbb.cg.shawcable.net,6327,Shaw Communications Inc.,Likely Dynamic IP,Canada,Alberta,Calgary,51.0507,-114.076
45,185.15.81.195,3104788931,185-15-81-195.ksi-system.net,47273,P.P.H.U. Artus,Likely Static IP,Poland,Malopolskie,Krakow,50.0836,19.9166
46,36.13.56.224,604846304,kd036013056224.ppp-bb.dion.ne.jp,2516,KDDI Corporation,Likely Static IP,Japan,Tokyo,Tokyo,35.6895,139.6923
47,59.120.141.64,997756224,59-120-141-64.hinet-ip.hinet.net,3462,Chunghwa Telecom Co. Ltd.,Likely Static IP,Taiwan,Taipei,Taipei,25.0382,121.5636
48,94.194.1.22,1589772566,5ec20116.skybroadband.com,5607,SKY UK Limited,Likely Static IP,United Kingdom of Great Britain and Northern Ireland,England,Peterborough,52.5736,-0.2478
49,60.241.131.146,1022460818,60-241-131-146.static.tpgi.com.au,7545,TPG Internet Pty Ltd.,Likely Static IP,Australia,New South Wales,Ryde,-33.8168,151.0998
50,188.149.51.213,3163894741,c188-149-51-213.bredband.tele2.se,1257,Tele2 Sverige AB,Likely Static IP,Sweden,Vastra Gotalands lan,Goeteborg,57.7074,11.9667
51,82.126.241.27,1384050971,arouen-651-1-25-27.w82-126.abo.wanadoo.fr,3215,Orange S.A.,Likely Dynamic IP,France,Normandie,Rouen,49.4431,1.0993
52,194.195.245.35,3267622179,194-195-245-35.ip.linodeusercontent.com,63949,Linode LLC,Likely Static IP,Germany,Hessen,Frankfurt am Main,50.1109,8.682
53,125.26.15.47,2098859823,node-2zz.pool-125-26.dynamic.totinternet.net,23969,TOT Public Company Limited,Likely Dynamic IP,Thailand,Chon Buri,Chon Buri,13.3622,100.9835
54,174.7.174.119,2919738999,s0106f85e42401c8c.vc.shawcable.net,6327,Shaw Communications Inc.,Likely Dynamic IP,Canada,British Columbia,Vancouver,49.2408,-123.1167
55,60.248.245.16,1022948624,60-248-245-16.hinet-ip.hinet.net,3462,Chunghwa Telecom Co. Ltd.,Likely Static IP,Taiwan,Taipei,Taipei,25.0382,121.5636
56,90.221.224.68,1524490308,5adde044.bb.sky.com,5607,SKY UK Limited,Likely Dynamic IP,United Kingdom of Great Britain and Northern Ireland,England,Southampton,50.904,-1.4043
57,202.189.203.90,3401435994,202-189-203-90.tokyo.otk.vectant.ne.jp,2519,Arteria Networks Corporation,Likely Static IP,Japan,Tokyo,Tokyo,35.6895,139.6923
58,143.238.79.244,2414759924,cpe-143-238-79-244.nb07.nsw.asp.telstra.net,1221,Telstra Internet,Likely Dynamic IP,Australia,New South Wales,Sydney,-33.8678,151.207
59,118.163.199.180,1990444980,118-163-199-180-hinet7-6-campusnet.thu.edu.tw,3462,Chunghwa Telecom Co. Ltd.,Likely Static IP,Taiwan,Taichung,Taichung,24.1469,120.684
60,82.65.218.215,1380047575,82-65-218-215.subs.proxad.net,12322,ProXad/Free SAS,Likely Dynamic IP,France,Ile-de-France,Paris,48.8591,2.2935
61,84.28.242.94,1411183198,84-28-242-94.cable.dynamic.v4.ziggo.nl,33915,Ziggo B.V.,Likely Dynamic IP,Netherlands,Overijssel,Zwolle,52.5124,6.0945
62,176.62.187.5,2956901125,176.62.187.5,42291,OOO Istranet,Likely Static IP,Russian Federation,Moskovskaya oblast',Dedovsk,55.8686,37.1222
63,120.149.40.64,2023041088,cpe-120-149-40-64.wb03.wa.asp.telstra.net,1221,Telstra,Likely Static IP,Australia,Western Australia,Perth,-31.9522,115.8614
64,109.146.150.223,1838323423,host109-146-150-223.range109-146.btcentralplus.com,2856,British Telecommunications PLC,Likely Static IP,United Kingdom of Great Britain and Northern Ireland,England,Cambridge,51.7333,-2.3667
65,87.90.179.185,1465562041,sog02-h01-87-90-179-185.dsl.sta.abo.bbox.fr,5410,Bouygues Telecom SA,Likely Dynamic IP,France,Ile-de-France,Meudon,48.8139,2.2352
66,69.155.107.182,1167813558,69-155-107-182.lightspeed.hstntx.sbcglobal.net,7018,AT&T Corp.,Likely Dynamic IP,United States,Texas,Houston,29.763,-95.3621
67,80.151.66.78,1352090190,p5097424e.dip0.t-ipconnect.de,3320,Deutsche Telekom AG,Likely Static IP,Germany,Sachsen,Reinhardtsdorf,50.8944,14.1904
68,193.248.135.95,3254290271,lputeaux-657-1-101-95.w193-248.abo.wanadoo.fr,3215,France Telecom S.A.,Likely Dynamic IP,France,Grand-Est,Clermont-en-Argonne,49.1071,5.07
69,84.64.126.98,1413512802,84.64.126.98,5378,Vodafone Ltd,Likely Static IP,United Kingdom of Great Britain and Northern Ireland,Scotland,Aberdeen,57.1437,-2.0981
70,90.3.96.230,1510170854,lfbn-idf3-1-1021-230.w90-3.abo.wanadoo.fr,3215,Orange S.A.,Likely Dynamic IP,France,Ile-de-France,Lorrez-le-Bocage-Preaux,48.2333,2.9
71,91.167.59.42,1537686314,91-167-59-42.subs.proxad.net,12322,Scaleway S.A.S.,Likely Dynamic IP,France,Ile-de-France,Paris,48.8591,2.2935
